Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.66,0.98,1.0
0.66,0.99,1.0
0.66,1.0,1.0
0.67,0.6,1000
0.67,0.61,1000
0.67,0.62,1000
0.67,0.63,1000
0.67,0.64,1000
0.67,0.65,1000
0.67,0.66,1000
0.67,0.67,1000
0.67,0.68,1000
0.67,0.69,1000
0.67,0.7,1000
0.67,0.71,1000
0.67,0.72,14.8
0.67,0.73,9.8
0.67,0.74,8.2
0.67,0.75,7.4
0.67,0.76,6.9
0.67,0.77,6.0
0.67,0.78,6.0
0.67,0.79,5.0
0.67,0.8,5.0
0.67,0.81,5.0
0.67,0.82,4.4
0.67,0.83,4.0
0.67,0.84,4.0
0.67,0.85,4.0
0.67,0.86,3.6
0.67,0.87,3.0
0.67,0.88,3.0
0.67,0.89,3.0
0.67,0.9,3.0
0.67,0.91,2.3
0.67,0.92,2.0
0.67,0.93,2.0
0.67,0.94,1.9
0.67,0.95,1.0
0.67,0.96,1.0
0.67,0.97,1.0
0.67,0.98,1.0
0.67,0.99,1.0
0.67,1.0,1.0
0.68,0.6,1000
0.68,0.61,1000
0.68,0.62,1000
0.68,0.63,1000
0.68,0.64,1000
0.68,0.65,1000
0.68,0.66,1000
0.68,0.67,1000
0.68,0.68,1000
0.68,0.69,1000
0.68,0.7,1000
0.68,0.71,1000
0.68,0.72,11.667
0.68,0.73,8.9
0.68,0.74,7.8
0.68,0.75,7.1
0.68,0.76,6.6
0.68,0.77,6.0
0.68,0.78,5.7
0.68,0.79,5.1
0.68,0.8,5.0
0.68,0.81,4.8
0.68,0.82,4.0
0.68,0.83,4.0
0.68,0.84,4.0
0.68,0.85,4.0
0.68,0.86,3.7
0.68,0.87,3.0
0.68,0.88,3.0
0.68,0.89,3.0
0.68,0.9,2.9
0.68,0.91,2.1
0.68,0.92,2.0
0.68,0.93,2.0
0.68,0.94,1.2
0.68,0.95,1.0
0.68,0.96,1.0
0.68,0.97,1.0
0.68,0.98,1.0
0.68,0.99,1.0
0.68,1.0,1.0
0.69,0.6,1000
0.69,0.61,1000
0.69,0.62,1000
0.69,0.63,1000
0.69,0.64,1000
0.69,0.65,1000
0.69,0.66,1000
0.69,0.67,1000
0.69,0.68,1000
0.69,0.69,1000
0.69,0.7,1000
0.69,0.71,13.5
0.69,0.72,11.8
0.69,0.73,8.6
0.69,0.74,7.8
0.69,0.75,7.0
0.69,0.76,6.1
0.69,0.77,6.0
0.69,0.78,5.4
0.69,0.79,5.0
0.69,0.8,5.0
0.69,0.81,4.9
0.69,0.82,4.2
0.69,0.83,4.0
0.69,0.84,4.0
0.69,0.85,3.9
0.69,0.86,3.3
0.69,0.87,3.0
0.69,0.88,3.0
0.69,0.89,3.0
0.69,0.9,3.0
0.69,0.91,2.1
0.69,0.92,2.0
0.69,0.93,2.0
0.69,0.94,1.4
0.69,0.95,1.0
0.69,0.96,1.0
0.69,0.97,1.0
0.69,0.98,1.0
0.69,0.99,1.0
0.69,1.0,1.0
0.7,0.6,1000
0.7,0.61,1000
0.7,0.62,1000
0.7,0.63,1000
0.7,0.64,1000
